replyID,replyDate,typeNameD,title,reply_object,longitude,latitude
17167343,2023-01-16 19:26:00, 投诉/求助 ,郝家庄镇岭上村供气不足供暖不足,山西省长治市上党区委书记,113.116404,36.195409
17163718,2023-01-16 02:38:00, 投诉/求助 ,西留庄留苑小区暖气,山西省太原市尖草坪区委书记,112.486691,37.940387
17038159,2022-12-28 05:10:00, 投诉/求助 ,煤气公司每年腊月基本白天都在停气！,山西省晋中市灵石县委书记,111.77864,36.847927
16999145,2022-12-23 08:37:00, 投诉/求助 ,关于洪洞县堤村乡干河村天然气每晚停气,山西省委书记蓝佛安,112.562678,37.873499
16955074,2022-12-20 01:30:00, 建言 ,取暖问题,山西省临汾市市长李云峰,111.518975,36.088005
16926945,2022-12-15 09:48:00, 投诉/求助 ,供暖问题,山西省大同市云冈区委书记,113.300129,40.076763
16911197,2022-12-13 06:37:00, 投诉/求助 ,天然气停供,山西省临汾市尧都区委书记,111.579554,36.07884
16819587,2022-12-02 22:20:00, 投诉/求助 ,新绛县金鑫小区天天停天然气和水,山西省运城市委书记丁小强,111.00746,35.026516
16795748,2022-11-30 18:36:00, 投诉/求助 ,取暖问题,山西省太原市市长张新伟,112.548879,37.87059
16756934,2022-11-27 07:18:00, 投诉/求助 ,中国燃气何时恢复供气,山西省长治市上党区委书记,113.116404,36.195409
16719375,2022-11-23 23:21:00, 投诉/求助 ,不合理拆迁并停暖停气,山西省太原市委书记韦韬,112.548879,37.87059
16699267,2022-11-22 02:54:00, 咨询 ,取暖问题,山西省大同市云冈区委书记,113.300129,40.076763
16640618,2022-11-17 01:09:00, 投诉/求助 ,煤改气后大冬天停气了,山西省长治市上党区委书记,113.116404,36.195409
16638792,2022-11-16 22:52:00, 投诉/求助 ,壁挂炉改暖,山西省太原市尖草坪区委书记,112.486691,37.940387
16619176,2022-11-15 07:41:00, 投诉/求助 ,原家庄全村集体停气好几天了不给解决,山西省长治市委书记杨勤荣,113.116404,36.195409
16619099,2022-11-15 07:36:00, 建言 ,苏店镇原家庄村有很多烧煤炭炉子和锅炉的,山西省长治市上党区委书记,113.116404,36.195409
16616140,2022-11-15 03:38:00, 投诉/求助 ,中国燃气不卖气，无法取暖。,山西省委书记蓝佛安,112.562678,37.873499
16613849,2022-11-15 01:15:00, 投诉/求助 , 牡丹苑小区，顶层没有暖气,山西省临汾市侯马市委书记,111.372002,35.619105
16608473,2022-11-14 19:22:00, 咨询 ,盐湖区蒲东小区什么时间能接上大暖,山西省运城市委书记丁小强,111.00746,35.026516
16596439,2022-11-13 21:30:00, 建言 ,尧都区屯里镇润泽园小区物业开发商,山西省临汾市市长李云峰,111.518975,36.088005
16508819,2022-11-07 01:38:00, 建言 ,热力公司修管停气期间的费用应该冲减来年费用,山西省阳泉市委书记雷健坤,113.580519,37.856971
16490985,2022-11-05 22:45:00, 投诉/求助 ,天然气,山西省太原市古交市委书记,112.175853,37.907129
16427077,2022-10-31 04:28:00, 投诉/求助 ,老军营小区西区1-4号楼,山西省太原市市长张新伟,112.548879,37.87059
16248016,2022-10-11 05:00:00, 投诉/求助 ,关于输送天然气的问题,山西省太原市古交市委书记,112.175853,37.907129
16232502,2022-10-09 13:02:00, 建言 ,想问下东冶镇天然气是怎么回事，自从夏天停气后,山西省忻州市五台县委书记,113.255309,38.728315
16208313,2022-10-06 09:16:00, 建言 ,反映后不解决,山西省大同市市长张强,113.300129,40.076763
16147283,2022-09-27 23:35:00, 投诉/求助 ,天然气供热改造电采暖是不是给农民增加负担,山西省太原市市长张新伟,112.548879,37.87059
16050015,2022-09-18 06:26:00, 投诉/求助 ,求助解决河东广场综合体小区天然气问题,山西省运城市委书记丁小强,111.00746,35.026516
16045316,2022-09-17 20:26:00, 投诉/求助 ,农村煤改气，停气已半月多,山西省省长金湘军,112.47794,37.715193
15985588,2022-09-11 23:00:00, 投诉/求助 ,投诉太原市天然气公司,山西省太原市委书记韦韬,112.548879,37.87059
15912478,2022-09-04 03:52:00, 投诉/求助 ,上党区博裕佳苑小区停天然气一月余，不给送气,山西省长治市市长陈耳东,113.116404,36.195409
15855319,2022-08-29 02:37:00, 投诉/求助 ,入住小区三年，燃气问题还未解决,山西省太原市杏花岭区委书记,112.570604,37.893955
15814555,2022-08-24 08:50:00, 投诉/求助 ,上党区万人小区北区停天然气,山西省长治市上党区委书记,113.116404,36.195409
15684101,2022-08-10 00:14:00, 投诉/求助 ,无故停气,山西省太原市委书记韦韬,112.548879,37.87059
15657638,2022-08-06 21:31:00, 投诉/求助 ,无故被停天然气快一个月了,山西省太原市市长张新伟,112.548879,37.87059
15650972,2022-08-05 21:28:00, 投诉/求助 ,箱子村，,山西省太原市晋源区委书记,112.47794,37.715193
15634124,2022-08-03 22:39:00, 投诉/求助 ,龙城金帝园停气停电已严重影响住户的日常生活,山西省晋中市市长常书铭,112.752652,37.687357
15616400,2022-08-01 23:33:00, 投诉/求助 ,关于太原市晋源区晋源街办箱子村天然气断供问题,山西省太原市市长张新伟,112.548879,37.87059
15614561,2022-08-01 21:18:00, 投诉/求助 ,关于晋源区箱子村停气问题,山西省太原市委书记韦韬,112.548879,37.87059
15604586,2022-07-31 22:26:00, 投诉/求助 ,龙城金帝园天然气停气数日,山西省晋中市市长常书铭,112.752652,37.687357
15576021,2022-07-28 06:22:00, 投诉/求助 ,黑驼村停气问题,山西省太原市小店区委书记,112.565659,37.736525
15151023,2022-06-19 23:57:00, 咨询 ,建设路79号市建一公司宿舍何时老旧改造,山西省太原市市长张新伟,112.548879,37.87059
14900696,2022-05-29 10:00:00, 咨询 ,名人港湾小区能否安装暖气,山西省运城市市长储祥好,111.00746,35.026516
14893651,2022-05-28 21:25:00, 投诉/求助 ,银座花园小区饭店占道摆摊和车辆乱停放问题,山西省晋城市市长薛明耀,112.851486,35.490684
14269540,2022-04-21 19:51:00, 投诉/求助 ,晋源街道办箱子村故意停天然气问题。,山西省太原市晋源区委书记,112.47794,37.715193
14266628,2022-04-21 09:20:00, 投诉/求助 ,晋源街道办箱子村故意停天然气问题,山西省太原市晋源区委书记,112.47794,37.715193
14072031,2022-04-09 01:33:00, 投诉/求助 ,南寒圣都脏乱差，物业不作为,山西省委书记蓝佛安,112.562678,37.873499
13841582,2022-03-19 07:19:00, 投诉/求助 ,太原市万柏林区神堂沟街道黄坡西山壹号，停水,山西省太原市市长张新伟,112.548879,37.87059
13835294,2022-03-18 19:44:00, 投诉/求助 ,太原市万柏林区神堂沟街道黄坡西山壹号,山西省委书记蓝佛安,112.515937,37.85958
13741462,2022-03-10 10:03:00, 咨询 ,下康拆迁及取暖两大问题,山西省临汾市尧都区委书记,111.579554,36.07884
13201406,2022-02-19 23:07:00, 投诉/求助 ,小店区龙园中区集中供暖,山西省太原市委书记韦韬,112.548879,37.87059
13013624,2022-02-17 22:10:00, 投诉/求助 ,违规不达标供热 家中温度低,山西省委书记蓝佛安,112.565659,37.736525
12885108,2022-02-11 21:17:00, 投诉/求助 ,城北热力公司不作为,山西省太原市委书记韦韬,112.548879,37.87059
12880082,2022-02-11 04:06:00, 投诉/求助 ,怡海花苑小区的有关问题,山西省委书记蓝佛安,112.565659,37.736525
12876434,2022-02-10 21:24:00, 投诉/求助 ,停水停气,山西省委书记蓝佛安,112.414738,35.486029
12861754,2022-02-09 06:07:00, 投诉/求助 ,宏源热力公司供暖太差劲,山西省晋中市太谷区委书记,112.752652,37.687357
12731226,2022-01-23 07:49:00, 投诉/求助 ,宏源供热公司,山西省晋中市太谷区委书记,112.752652,37.687357
12720819,2022-01-22 05:07:00, 建言 ,关于长治到南京无锡等苏南地区无直达高铁的建议,山西省长治市委书记杨勤荣,113.116404,36.195409
17060417,2022-12-31 11:10:00, 投诉/求助 ,求助,内蒙古自治区兴安盟盟委书记张晓兵,122.037657,46.082462
17057360,2022-12-30 23:35:00, 投诉/求助 ,合硕悦府供暖期间停气三天问题,内蒙古自治区通辽市委书记孟宪东,122.243444,43.652889
