,省,市,区,地址,adcode
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,山西省,临汾市,曲沃县,裴南庄村三天两头停气，如此冷的天气，老人和孩子都在家，又不让烧煤取暖又不能正常供气让老百姓如何生活？假如老人因为没暖气而出现意外谁负责？希望能有人过问此事，不要让领导们温暖的屋子寒了老百姓的心！#人民建议#,141021
5,,,,,
6,,,,,
7,,,,,
8,山西省,太原市,小店区,北格镇琦峰苑。我们的物业和崇光天然气公司供气每年取暖费一平方收5块5一平方，每年取暖不行，小区这么冷的天天供暖老晚上烧来的时间下午5点到晚上十二点停气，白天上午5点到中午10点停气，小区锅炉房的进水温度41，回水温度35度，进水有点温，回水冰凉，请领导重视解决！ 我们家里有老人和五个月的小孩家里非常冷客客厅16度，卧室14度,140105
9,,,,,
10,山西省,太原市,清徐县,文源路神州巷1号楼拆迁问题 二十年前以高价购得清徐县第一套商品房，现在一刀切，本来就不合理的基础上，还拒绝整体回迁，回迁到一些卖不出去的商品房里，还要补差价。我们小区对口的小学为清徐县实验小学，县城里面最好的小学，拆迁后呢？ 详情请见备注区。,140121
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,山西省,太原市,古交市,煤管局宿舍停煤气已经好几个月了，不知道天然气什么时候可以送？,140181
22,山西省,太原市,,燃气公司询问，接电话人员开始表示停气到当日中午12点结束，后又说如果更换管道就是全天停气，并让自己寻找因停气无法做饭的解决办法，小区为老小区多数住户为老人和小孩，面对这种毫无任何准备的断气，感觉十分不便与无奈。          诉求1：为何不预先做好通知，让居民有所准备？                 2.施工工人当日10：30 就收工，为何要停气一整天还接连停气5天？                 3.是否考虑对居民造成的不便？,140100
23,山西省,太原市,古交市,矾石沟社区西曲矿305小区50*号楼三单元住户，小区今年7月份停止煤气供给，准备送天然气，说是停三个月后送天然气。现在已经过去三个月，我们楼一部分住户管道都没入户，两年前只给阳台打了个孔，至今没下文。现在主管道开始打压了，对于我们这些管道都还没入户的居民能按时送气入户吗？,140181
24,山西省,忻州市,五台县,委书记。我想问下东冶镇的煤改气的天然气是怎么回事。自从夏天4月份停气后，到现在一直没有给送气，去年冬天县里给改的煤改气后，老百姓反映很好，把原来的电池炉都改成了燃气灶，但是今年一直不给送气，做饭也不方便，还有马上到供暖季了，到底是什么原因导致这长达半年多的时间不给送气，何时才能给送气呢？,140922
25,山西省,大同市,城区,永泰街道永泰学府公寓楼A座，街面位置，连房带院210平米，房子69平米，2020年6月15拆除后，只给了部门生活用品，很多家具及狗很多物品没有归还。感谢平台给残疾人家庭反映的权力，在反映后区政府给免费提供的过渡住房，停电停水停暖停气，无法生活，也不给安置回迁问题也没有解决，多个部分和渠道都有反映，万分感谢帮帮残疾人家庭解决一下。,140202
