replyID,replyDate,reply_object,replyInfoHead,typeNameD,stateInfo,single_url
17194469,2023-01-23 23:25,河北省邯郸市市长樊成华,投诉华润燃气三天两头饭点停气,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17194469&from=search
17193893,2023-01-23 19:26,河北省沧州市委书记康彦民,23年1月24号中燃燃气公司无故停止供气,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17193893&from=search
17184480,2023-01-19 21:43,河北省委书记倪岳峰,求助,,投诉/求助 办理中,http://liuyan.people.com.cn/threads/content?tid=17184480&from=search
17117507,2023-01-09 06:44,河北省委书记倪岳峰,农村煤改气，现在晚上没气取暖,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17117507&from=search
17101483,2023-01-06 23:20,河北省沧州市市长向辉,无故停天然气,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17101483&from=search
17096112,2023-01-06 02:47,河北省保定市市长闫继红,燃气公司强制停气,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17096112&from=search
17087189,2023-01-04 23:35,河北省保定市望都县委书记,农村天燃气供暖问题,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17087189&from=search
17085476,2023-01-04 20:15,河北省石家庄市元氏县委书记,农村天然气供给不足，无法取暖做饭,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17085476&from=search
17080255,2023-01-04 00:55,河北省省长王正谱,邢台市隆尧县农村取暖燃气不是限购就是停气,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17080255&from=search
17075895,2023-01-03 07:52,河北省委书记倪岳峰,邢台市广宗中燃公司,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17075895&from=search
17074802,2023-01-03 04:58,河北省委书记倪岳峰,河北农村燃气夜间断供，无法正常采暖,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17074802&from=search
17070461,2023-01-02 19:39,河北省委书记倪岳峰,燃气停气,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17070461&from=search
17067453,2023-01-02 02:44,河北省委书记倪岳峰,农村取暖难,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17067453&from=search
17064584,2023-01-01 09:51,河北省保定市委书记党晓龙,燃气供暖停气频繁严重影响供暖,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17064584&from=search
17060440,2022-12-31 11:23,河北省邯郸市委书记张维亮,肥乡区中燃公司擅自限气和停气,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17060440&from=search
17059023,2022-12-31 05:36,河北省沧州市献县县委书记,中石化调高价格,,建言 已办理,http://liuyan.people.com.cn/threads/content?tid=17059023&from=search
17056525,2022-12-30 21:08,河北省廊坊市委书记王立彤,百川燃气一周停气四次，阳性居民供暖苦不堪言,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17056525&from=search
17056334,2022-12-30 20:24,河北省委书记倪岳峰,天然气天天停气,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17056334&from=search
17055513,2022-12-30 11:12,河北省保定市徐水区委书记,奥德徐水天然气公司晚上必停气，连续了半个月了,建言,已办理,http://liuyan.people.com.cn/threads/content?tid=17055513&from=search
17054836,2022-12-30 08:47,河北省邯郸市邱县县委书记,求助,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17054836&from=search
17053278,2022-12-30 04:45,河北省保定市市长闫继红,跨年夜我们却面临停气挨冻的担忧，恳求领导整顿,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17053278&from=search
17052590,2022-12-30 03:10,河北省邢台市巨鹿县委书记,每天晚上停气,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17052590&from=search
17050736,2022-12-29 22:51,河北省委书记倪岳峰,天然气供给不足，影响民生,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17050736&from=search
17049506,2022-12-29 20:34,河北省廊坊市委书记王立彤,冬天天然气总停气，农村无法正常取暖做饭,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17049506&from=search
17048491,2022-12-29 16:39,河北省委书记倪岳峰,燃气公司每天停气,该怎么过冬,投诉/求助 办理中,http://liuyan.people.com.cn/threads/content?tid=17048491&from=search
17045714,2022-12-29 04:30,河北省沧州市盐山县委书记,中石油卖高价气，停气让老百姓挨冻,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17045714&from=search
17043935,2022-12-29 01:01,河北省邢台市委书记,巨鹿县官亭镇常营村天然气限购，还经常停气,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17043935&from=search
17043698,2022-12-29 00:22,河北省保定市高碑店市委书记,煤改气供暖，但一到晚上就停气，无法供暖,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17043698&from=search
17039785,2022-12-28 08:56,河北省邯郸市委书记张维亮,天燃气没气,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17039785&from=search
17039332,2022-12-28 07:57,河北省衡水市饶阳县委书记,天然气供应,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17039332&from=search
17039242,2022-12-28 07:45,河北省邯郸市永年区委书记,燃气天天停气，百姓取暖做饭难,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17039242&from=search
17039168,2022-12-28 07:36,河北省邢台市市长宋华英,河北省天然气有限公司卖高价气，停气让我们受冻,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17039168&from=search
