replyID,replyDate,reply_object,replyInfoHead,typeNameD,stateInfo,single_url,province,city,county
17193453,2023-01-23 10:19:00,山西省长治市长子县委书记,关于天然气停气,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17193453&from=search,山西省,长治市,长子县
17167343,2023-01-16 19:26:00,山西省长治市上党区委书记,郝家庄镇岭上村供气不足供暖不足,投诉/求助,办理中,http://liuyan.people.com.cn/threads/content?tid=17167343&from=search,山西省,长治市,
17163718,2023-01-16 02:38:00,山西省太原市尖草坪区委书记,西留庄留苑小区暖气,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=17163718&from=search,山西省,太原市,尖草坪区
17038159,2022-12-28 05:10:00,山西省晋中市灵石县委书记,煤气公司每年腊月基本白天都在停气！,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=17038159&from=search,山西省,晋中市,灵石县
16999145,2022-12-23 08:37:00,山西省委书记蓝佛安,关于洪洞县堤村乡干河村天然气每晚停气,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=16999145&from=search,山西省,,
16955074,2022-12-20 01:30:00,山西省临汾市市长李云峰,取暖问题,建言,待回复,http://liuyan.people.com.cn/threads/content?tid=16955074&from=search,山西省,临汾市,
16926945,2022-12-15 09:48:00,山西省大同市云冈区委书记,供暖问题,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=16926945&from=search,山西省,大同市,
16911197,2022-12-13 06:37:00,山西省临汾市尧都区委书记,天然气停供,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=16911197&from=search,山西省,临汾市,尧都区
16819587,2022-12-02 22:20:00,山西省运城市委书记丁小强,新绛县金鑫小区天天停天然气和水,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=16819587&from=search,山西省,运城市,
16795748,2022-11-30 18:36:00,山西省太原市市长张新伟,取暖问题,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=16795748&from=search,山西省,太原市,
16756934,2022-11-27 07:18:00,山西省长治市上党区委书记,中国燃气何时恢复供气,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=16756934&from=search,山西省,长治市,
16719375,2022-11-23 23:21:00,山西省太原市委书记韦韬,不合理拆迁并停暖停气,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=16719375&from=search,山西省,太原市,
16699267,2022-11-22 02:54:00,山西省大同市云冈区委书记,取暖问题,咨询,已办理,http://liuyan.people.com.cn/threads/content?tid=16699267&from=search,山西省,大同市,
16640618,2022-11-17 01:09:00,山西省长治市上党区委书记,煤改气后大冬天停气了,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=16640618&from=search,山西省,长治市,
16638792,2022-11-16 22:52:00,山西省太原市尖草坪区委书记,壁挂炉改暖,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=16638792&from=search,山西省,太原市,尖草坪区
16619176,2022-11-15 07:41:00,山西省长治市委书记杨勤荣,原家庄全村集体停气好几天了不给解决,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=16619176&from=search,山西省,长治市,
16619099,2022-11-15 07:36:00,山西省长治市上党区委书记,苏店镇原家庄村有很多烧煤炭炉子和锅炉的,建言,已办理,http://liuyan.people.com.cn/threads/content?tid=16619099&from=search,山西省,长治市,
16616140,2022-11-15 03:38:00,山西省委书记蓝佛安,中国燃气不卖气，无法取暖。,投诉/求助,待回复,http://liuyan.people.com.cn/threads/content?tid=16616140&from=search,山西省,,
16613849,2022-11-15 01:15:00,山西省临汾市侯马市委书记,,牡丹苑小区，顶层没有暖气,投诉/求助 已办理,http://liuyan.people.com.cn/threads/content?tid=16613849&from=search,山西省,临汾市,侯马市
16608473,2022-11-14 19:22:00,山西省运城市委书记丁小强,盐湖区蒲东小区什么时间能接上大暖,咨询,办理中,http://liuyan.people.com.cn/threads/content?tid=16608473&from=search,山西省,运城市,
16596439,2022-11-13 21:30:00,山西省临汾市市长李云峰,尧都区屯里镇润泽园小区物业开发商,建言,办理中,http://liuyan.people.com.cn/threads/content?tid=16596439&from=search,山西省,临汾市,
16508819,2022-11-07 01:38:00,山西省阳泉市委书记雷健坤,热力公司修管停气期间的费用应该冲减来年费用,建言,已办理,http://liuyan.people.com.cn/threads/content?tid=16508819&from=search,山西省,阳泉市,
16490985,2022-11-05 22:45:00,山西省太原市古交市委书记,天然气,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=16490985&from=search,山西省,太原市,古交市
16427077,2022-10-31 04:28:00,山西省太原市市长张新伟,老军营小区西区1-4号楼,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=16427077&from=search,山西省,太原市,
16248016,2022-10-11 05:00:00,山西省太原市古交市委书记,关于输送天然气的问题,投诉/求助,已办理,http://liuyan.people.com.cn/threads/content?tid=16248016&from=search,山西省,太原市,古交市
16232502,2022-10-09 13:02:00,山西省忻州市五台县委书记,想问下东冶镇天然气是怎么回事，自从夏天停气后,建言,已办理,http://liuyan.people.com.cn/threads/content?tid=16232502&from=search,山西省,忻州市,五台县
